TRADEDATE,tau,beta0,beta1,beta2
2015-04-01,29.999965027944988,6715401.114097043,42407.152262788266,-734750.6460892765
2015-04-02,29.999965027944988,6737154.193136918,42407.15225154627,-734748.058160315
2015-04-03,29.999965027944988,6758907.272171015,42407.152240408584,-734745.4702313535
2015-04-06,29.999965027944988,6780660.351199438,42407.15222937614,-734742.882302392
2015-04-07,29.999965027944988,6802413.430222082,42407.15221855417,-734740.2943734305
2015-04-08,29.999965027944988,6824166.509239158,42407.15220762603,-734737.706444469
2015-04-09,29.999965027944988,6845919.588250559,42407.15219680406,-734735.1185155076
2015-04-10,29.999965027944988,6867672.667256392,42407.1521860864,-734732.530586546
2015-04-13,29.999965027944988,6889425.74625676,42407.15217536967,-734729.9426575846
2015-04-14,29.999965027944988,6911178.825251561,42407.15216486249,-734727.3547286231
2015-04-15,29.999965027944988,6932931.904240897,42407.15215435624,-734724.7667996616
2015-04-16,29.999965027944988,6954684.98322477,42407.15214405954,-734722.1788707001
2015-04-17,29.999965027944988,6976438.06220339,42407.15213355236,-734719.5909417386
2015-04-20,29.999965027944988,6998191.141176545,42407.152123360895,-734717.0030127771
2015-04-21,29.999965027944988,7019944.220144447,42407.15211316943,-734714.4150838156
2015-04-22,29.999965027944988,7041697.299107095,42407.15210297797,-734711.8271548541
2015-04-23,29.999965027944988,7063450.37806449,42407.152092786506,-734709.2392258926
2015-04-24,29.999965027944988,7085203.457016632,42407.15208269935,-734706.6512969311
2015-04-27,29.999965027944988,7106956.535963625,42407.15207250789,-734704.0633679696
2015-04-28,29.999965027944988,7128709.614905364,42407.15206263214,-734701.4754390081
2015-04-29,29.999965027944988,7150462.693841955,42407.15205286071,-734698.8875100466
2015-04-30,29.999965027944988,7172215.772773502,42407.15204298403,-734696.2995810851
2015-05-05,29.999965027944988,7193968.851699902,42407.152033317834,-734693.7116521236
2015-05-06,29.999965027944988,7215721.930621258,42407.152023755945,-734691.1237231621
2015-05-07,29.999965027944988,7237475.009537675,42407.15201408975,-734688.5357942006
2015-05-08,29.999965027944988,7259228.088449155,42407.15200442262,-734685.9478652391
2015-05-12,29.999965027944988,7280981.167355696,42407.15199475642,-734683.3599362776
2015-05-13,29.999965027944988,7302734.246257299,42407.15198529977,-734680.7720073161
2015-05-14,29.999965027944988,7324487.325153963,42407.15197594836,-734678.1840783546
2015-05-15,29.999965027944988,7346240.4040458985,42407.151966387406,-734675.5961493931
2015-05-18,29.999965027944988,7367993.482932896,42407.151957035996,-734673.0082204316
2015-05-19,29.999965027944988,7389746.561815166,42407.151947684586,-734670.4202914701
2015-05-20,29.999965027944988,7411499.640692602,42407.151938543655,-734667.8323625086
2015-05-21,29.999965027944988,7433252.7195653105,42407.15192940179,-734665.2444335471
2015-05-22,29.999965027944988,7455005.798433291,42407.15192036517,-734662.6565045856
2015-05-25,29.999965027944988,7476758.877296648,42407.15191122331,-734660.0685756241
2015-05-26,29.999965027944988,7498511.956155277,42407.151902186684,-734657.4806466626
2015-05-27,29.999965027944988,7520265.035009283,42407.15189315006,-734654.8927177012
2015-05-28,29.999965027944988,7542018.113858665,42407.15188421868,-734652.3047887397
