Дата фактической выплаты,Бумага,ISIN,Торговый код,Номер платежа,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
2019-08-21 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,8,7.5,37.4,0.0
2020-02-19 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,9,7.5,37.4,0.0
2020-08-19 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,10,7.5,37.4,0.0
2021-02-17 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,11,7.5,37.4,0.0
2021-08-18 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,12,7.5,37.4,1000.0
2016-06-04 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,1,8.5,37.49,0.0
2016-05-10 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,2,8.5,42.38,0.0
2017-05-04 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,3,8.5,42.38,0.0
2017-04-10 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,4,8.5,42.38,0.0
2018-04-04 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,5,8.5,42.38,0.0
2018-03-10 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,6,8.5,42.38,0.0
2019-03-04 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,7,8.5,42.38,0.0
2019-02-10 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,8,8.5,42.38,0.0
2020-01-04 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,9,8.5,42.38,0.0
2020-09-30 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,10,8.5,42.38,0.0
2021-03-31 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,11,8.5,42.38,0.0
2021-09-29 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,12,8.5,42.38,0.0
2022-03-30 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,13,8.5,42.38,0.0
2022-09-28 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,14,8.5,42.38,0.0
2023-03-29 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,15,8.5,42.38,0.0
2023-09-27 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,16,8.5,42.38,0.0
2024-03-27 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,17,8.5,42.38,0.0
2024-09-25 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,18,8.5,42.38,0.0
2025-03-26 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,19,8.5,42.38,0.0
2025-09-24 00:00:00,26218,RU000A0JVW48,SU26218RMFS6,20,8.5,42.38,0.0
